9860746,3307930
9860747,3309821
9860748,3330565
9860749,3330583
9860750,3330793
9860751,3342041
9860752,3342316
9860753,3342369
9860754,3485249
9860755,3679503
9860756,3777645
9860757,3777879
9860758,3779049
9860759,3780188
9860760,3781569
9860761,3782505
9860762,3782507
9860763,3782527
9860764,3819113
9860765,3819204
9860766,3819225
9860767,3819258
9860768,3819416
9860769,3819436
9860770,3819450
9860771,3819512
9860772,3819527
9860773,3819582
9860774,3820429
9860775,3820430
9860776,3820431
9860777,3820432
9860778,3820433
9860779,3820434
9860780,3820436
9860781,3820437
9860782,3820439
9860783,3823128
9860784,3823130
9860785,3823146
9860787,3823934
9860788,3823938
9860789,3824401
9860790,3824414
9860791,3824744
9860792,3824763
9860793,3824789
9860794,3824791
9860795,3824799
9860796,3825212
9860797,4062808
9860798,4129843
9860799,4129844
9860800,4129845
9860801,4171437
9860802,4217698
9860803,4438372
9860804,4450061
9860805,4764668
9860806,4768027
9860807,4768118
9860808,4768124
9860809,4768272
9860810,4768323
9860811,4936423
9860812,4959828
9860813,5067590
9860814,5419922
9860815,5660752
9860816,5670833
